Date,ProductID,WarehouseID,UnitsSold,Revenue
8/9/2025,P078,W01,12,36984
12/11/2025,P011,W03,18,114300
4/11/2025,P052,W09,4,26244
1/2/2025,P086,W09,13,77948
7/13/2025,P059,W06,9,12672
5/15/2025,P029,W07,13,53352
12/3/2025,P084,W05,18,82368
8/5/2025,P094,W02,14,46004
3/9/2025,P035,W04,13,65000
8/13/2025,P063,W01,10,24310
9/8/2025,P058,W09,9,53406
3/23/2025,P072,W09,17,16609
6/20/2025,P027,W06,16,21040
1/23/2025,P007,W01,10,50550
4/30/2025,P001,W02,14,51660
2/24/2025,P016,W03,13,55575
10/3/2025,P036,W08,2,11216
12/16/2025,P084,W05,7,44415
4/23/2025,P042,W07,12,72492
9/12/2025,P045,W04,12,56172
12/3/2025,P012,W06,13,75075
3/27/2025,P079,W02,13,81003
2/20/2025,P031,W03,8,31928
9/13/2025,P037,W05,7,16772
6/3/2025,P043,W09,2,3006
11/3/2025,P017,W08,19,28386
7/21/2025,P020,W01,9,62109
2/9/2025,P068,W08,6,2958
10/23/2025,P026,W05,12,74064
12/27/2025,P088,W04,6,20394
5/7/2025,P100,W05,15,75510
9/15/2025,P002,W05,5,20450
10/13/2025,P023,W03,10,60550
7/13/2025,P087,W02,1,5039
6/11/2025,P038,W07,5,8475
4/10/2025,P012,W10,14,95074
11/23/2025,P007,W04,17,79390
8/1/2025,P096,W02,4,11376
3/28/2025,P087,W07,13,44616
2/11/2025,P087,W04,15,99840
7/4/2025,P001,W09,2,3924
5/11/2025,P043,W09,13,39819
5/2/2025,P059,W09,6,23778
5/24/2025,P050,W05,13,63635
9/17/2025,P079,W09,15,34785
9/22/2025,P097,W08,17,94129
11/22/2025,P072,W08,16,83728
2/13/2025,P055,W05,9,49509
10/15/2025,P059,W07,10,55080
8/26/2025,P029,W08,17,10234
9/11/2025,P070,W06,16,71072
5/12/2025,P096,W05,16,110672
1/16/2025,P030,W08,17,50439
7/23/2025,P059,W03,11,14762
10/20/2025,P049,W02,9,61893
9/10/2025,P045,W10,18,95166
8/21/2025,P073,W02,8,12112
9/26/2025,P055,W09,4,26824
8/27/2025,P094,W08,13,83109
11/19/2025,P024,W03,4,6828
11/24/2025,P067,W04,3,4689
6/5/2025,P023,W02,20,8420
7/4/2025,P070,W01,2,4818
3/22/2025,P012,W07,14,96908
10/15/2025,P059,W03,19,45144
4/28/2025,P069,W06,12,32016
7/25/2025,P080,W10,3,5217
2/16/2025,P085,W07,8,35688
6/4/2025,P016,W10,11,19547
3/3/2025,P083,W05,1,1860
2/14/2025,P077,W06,5,31445
12/27/2025,P009,W03,15,93795
1/15/2025,P040,W09,12,61164
12/8/2025,P005,W06,5,11425
12/16/2025,P053,W08,2,11114
2/18/2025,P068,W04,14,74312
11/4/2025,P047,W06,8,22088
7/22/2025,P057,W04,3,9687
10/4/2025,P099,W05,9,6111
1/17/2025,P004,W02,14,91280
4/6/2025,P020,W05,13,18304
9/10/2025,P061,W04,20,54260
4/22/2025,P092,W09,10,39390
6/5/2025,P012,W08,19,72865
3/2/2025,P035,W03,5,27105
2/11/2025,P087,W03,13,82420
2/16/2025,P017,W01,15,102120
5/27/2025,P085,W08,11,64845
7/21/2025,P016,W09,10,66350
1/13/2025,P028,W09,13,87100
1/24/2025,P071,W04,11,44187
8/6/2025,P042,W01,10,63490
11/24/2025,P074,W07,19,69939
3/19/2025,P040,W07,10,56630
12/28/2025,P004,W07,13,41756
2/28/2025,P094,W03,11,9196
7/15/2025,P050,W04,17,15096
9/23/2025,P047,W10,4,20096
10/16/2025,P037,W09,12,61776
9/24/2025,P095,W10,16,16064
3/1/2025,P011,W08,20,20460
2/27/2025,P011,W03,12,76668
10/19/2025,P053,W10,6,2076
9/28/2025,P051,W02,3,13578
9/5/2025,P013,W07,19,130207
8/14/2025,P092,W02,15,10620
10/28/2025,P029,W03,2,8734
9/22/2025,P084,W06,11,44033
1/1/2025,P013,W06,16,33792
10/2/2025,P035,W03,14,30730
6/17/2025,P030,W09,4,1260
8/14/2025,P043,W10,12,18840
4/29/2025,P008,W06,8,14152
12/9/2025,P099,W10,2,5854
12/23/2025,P083,W06,10,1880
2/12/2025,P054,W03,11,8338
10/1/2025,P077,W09,19,65227
9/25/2025,P046,W02,7,17759
10/28/2025,P005,W09,19,6175
2/23/2025,P066,W08,19,102315
12/28/2025,P086,W01,15,33090
7/19/2025,P065,W05,16,32592
10/25/2025,P060,W08,8,19504
9/9/2025,P018,W04,20,16340
3/22/2025,P097,W08,20,23260
1/12/2025,P100,W08,12,42444
1/22/2025,P061,W01,7,41531
9/22/2025,P021,W09,11,76857
12/13/2025,P028,W03,7,44541
11/3/2025,P096,W01,14,77882
1/26/2025,P003,W06,8,6840
8/19/2025,P038,W03,8,21600
12/27/2025,P013,W08,7,31234
12/10/2025,P003,W07,5,2095
1/31/2025,P035,W02,6,6054
7/27/2025,P026,W10,1,936
2/9/2025,P065,W02,6,13656
4/15/2025,P086,W04,3,6744
8/15/2025,P067,W01,12,19260
3/25/2025,P088,W09,7,41300
4/26/2025,P071,W01,4,27836
11/13/2025,P081,W06,19,13832
9/1/2025,P066,W09,19,32376
12/19/2025,P085,W04,19,44365
8/9/2025,P088,W10,20,56140
3/7/2025,P092,W03,11,12595
9/6/2025,P074,W07,15,11760
7/11/2025,P082,W09,4,26668
5/3/2025,P098,W06,10,44060
8/1/2025,P075,W03,20,124080
7/7/2025,P020,W07,3,5601
4/13/2025,P021,W10,2,6336
10/6/2025,P023,W03,20,133900
6/3/2025,P055,W06,7,30044
6/6/2025,P098,W10,15,43395
6/8/2025,P001,W03,11,52745
9/7/2025,P019,W07,7,6167
5/23/2025,P028,W08,2,7198
7/3/2025,P066,W08,1,1110
8/23/2025,P029,W08,12,43584
11/12/2025,P066,W04,12,55068
11/27/2025,P022,W04,8,42616
1/11/2025,P028,W05,8,45200
6/19/2025,P093,W02,13,20137
1/10/2025,P073,W10,6,13386
11/15/2025,P092,W08,20,79240
8/20/2025,P084,W02,7,36897
3/12/2025,P037,W08,18,19620
4/9/2025,P018,W10,3,16230
1/29/2025,P017,W02,13,66235
11/28/2025,P034,W04,7,19159
2/4/2025,P050,W07,4,1888
2/8/2025,P048,W06,5,28490
5/17/2025,P082,W01,10,59890
11/5/2025,P057,W02,14,47992
5/2/2025,P098,W07,1,3769
3/3/2025,P038,W01,5,21880
3/7/2025,P091,W02,20,15080
9/21/2025,P052,W01,14,85610
10/10/2025,P044,W01,2,12652
3/27/2025,P094,W09,2,11304
1/20/2025,P093,W08,14,13762
7/28/2025,P022,W04,4,13416
10/8/2025,P056,W07,1,2448
6/15/2025,P078,W08,1,4719
4/10/2025,P069,W05,17,57613
5/5/2025,P058,W09,12,66948
9/19/2025,P100,W04,5,24450
5/15/2025,P038,W09,8,51120
12/2/2025,P098,W10,1,828
2/14/2025,P022,W04,7,13370
7/10/2025,P069,W08,18,50148
11/14/2025,P091,W09,13,24570
4/19/2025,P053,W10,9,43992
3/7/2025,P094,W04,15,101280
7/15/2025,P066,W05,3,15678
3/12/2025,P049,W09,16,97520
4/3/2025,P003,W06,16,79680
4/8/2025,P073,W07,11,66803
3/3/2025,P072,W08,15,5400
8/30/2025,P056,W09,5,7825
6/26/2025,P069,W08,13,4524
8/16/2025,P078,W01,13,43550
12/19/2025,P019,W08,7,31633
8/17/2025,P006,W04,13,63752
4/3/2025,P018,W01,13,67223
11/26/2025,P026,W05,11,48741
12/4/2025,P075,W09,6,13200
10/21/2025,P032,W05,5,18360
9/1/2025,P074,W02,4,2352
7/12/2025,P018,W06,19,126331
2/21/2025,P090,W02,19,19836
6/30/2025,P089,W03,14,76034
2/17/2025,P023,W03,2,3606
12/17/2025,P051,W10,7,6440
10/31/2025,P039,W08,5,5110
3/12/2025,P035,W04,1,3800
1/31/2025,P087,W04,11,7755
8/15/2025,P089,W07,12,4632
12/27/2025,P028,W04,18,56142
4/27/2025,P031,W06,20,14080
10/28/2025,P048,W09,8,20952
4/29/2025,P009,W02,16,99232
2/8/2025,P083,W07,12,56568
6/1/2025,P035,W09,16,65616
10/30/2025,P027,W07,14,73612
2/18/2025,P014,W02,12,56460
11/9/2025,P049,W09,3,10353
7/7/2025,P007,W04,7,40852
9/23/2025,P088,W03,9,51030
4/11/2025,P066,W07,15,35385
2/9/2025,P065,W07,4,884
8/13/2025,P030,W08,5,31645
8/3/2025,P058,W10,14,25732
10/11/2025,P079,W08,7,16149
10/10/2025,P050,W04,7,9499
6/29/2025,P028,W08,18,30942
10/30/2025,P004,W02,18,20664
2/16/2025,P074,W10,10,63620
10/16/2025,P011,W06,9,38799
2/3/2025,P085,W01,11,26499
2/24/2025,P030,W10,20,119080
4/22/2025,P096,W08,19,106267
11/18/2025,P094,W01,4,23244
5/23/2025,P088,W05,3,5454
7/31/2025,P088,W03,14,6734
5/12/2025,P034,W06,8,5400
12/28/2025,P093,W09,5,34005
12/8/2025,P028,W03,15,20940
7/6/2025,P040,W10,10,58070
8/13/2025,P012,W10,6,9054
7/10/2025,P013,W09,17,18649
3/29/2025,P044,W09,8,26808
4/22/2025,P055,W10,9,37062
12/29/2025,P037,W10,19,131822
5/16/2025,P099,W10,12,81432
12/27/2025,P088,W09,14,17066
12/25/2025,P018,W06,3,4896
12/1/2025,P052,W09,15,87420
12/27/2025,P023,W04,12,82680
12/14/2025,P075,W06,4,20156
6/8/2025,P002,W01,18,50886
3/14/2025,P042,W07,3,11466
11/19/2025,P054,W08,19,119244
8/18/2025,P060,W09,11,44022
10/21/2025,P079,W06,20,127080
1/23/2025,P072,W04,18,85158
1/3/2025,P050,W05,10,59220
1/30/2025,P080,W02,20,21640
12/28/2025,P076,W01,20,110260
4/5/2025,P003,W06,13,50648
2/11/2025,P044,W01,20,100880
7/19/2025,P077,W04,11,68761
6/15/2025,P037,W09,5,6455
10/14/2025,P067,W06,8,39792
6/2/2025,P022,W09,16,65952
8/31/2025,P054,W02,15,4620
4/20/2025,P061,W08,15,30870
8/12/2025,P096,W07,18,15444
7/10/2025,P090,W02,12,67572
5/26/2025,P065,W05,7,43456
7/19/2025,P011,W02,14,46886
4/4/2025,P092,W04,19,106723
1/21/2025,P041,W01,18,30690
3/11/2025,P008,W08,1,2959
1/23/2025,P010,W09,1,1657
12/21/2025,P017,W01,9,11439
11/9/2025,P059,W10,10,37980
1/22/2025,P097,W02,16,92512
4/15/2025,P001,W06,15,41715
8/14/2025,P013,W09,11,42383
1/23/2025,P022,W06,4,16728
9/11/2025,P039,W07,5,4210
11/26/2025,P062,W03,8,38144
4/1/2025,P054,W01,9,50778
8/11/2025,P089,W10,4,10796
6/7/2025,P009,W09,16,81696
2/1/2025,P014,W03,12,76548
3/30/2025,P072,W03,17,79679
11/17/2025,P059,W08,1,5340
10/9/2025,P064,W08,13,30095
10/11/2025,P067,W04,4,7576
12/6/2025,P080,W07,3,8520
11/28/2025,P098,W02,14,97538
9/20/2025,P068,W04,10,49560
5/27/2025,P043,W01,5,27840
6/20/2025,P085,W04,5,31315
6/7/2025,P013,W04,5,30730
5/1/2025,P028,W05,19,106495
8/17/2025,P098,W05,15,81765
7/3/2025,P064,W09,20,27420
1/31/2025,P050,W07,19,52706
6/28/2025,P004,W08,10,13530
7/17/2025,P038,W04,12,43692
5/1/2025,P019,W04,11,40920
7/10/2025,P040,W05,2,9444
7/10/2025,P002,W01,13,5031
11/5/2025,P056,W01,12,82332
11/6/2025,P034,W02,6,28752
3/26/2025,P009,W06,18,56592
2/2/2025,P070,W05,17,36618
7/3/2025,P062,W02,7,46788
3/13/2025,P047,W10,2,4244
6/16/2025,P084,W07,17,88060
4/26/2025,P037,W01,20,84460
12/26/2025,P044,W04,5,12535
6/5/2025,P004,W03,18,60840
12/25/2025,P079,W04,11,38390
3/20/2025,P060,W08,7,34461
5/26/2025,P099,W07,3,2571
6/18/2025,P035,W07,5,32730
8/16/2025,P071,W01,4,2636
7/25/2025,P058,W03,17,103836
5/14/2025,P044,W04,3,15417
11/17/2025,P049,W03,1,6153
11/12/2025,P020,W10,11,76461
9/15/2025,P096,W08,5,22680
1/11/2025,P068,W06,14,22610
7/17/2025,P005,W05,7,4627
1/13/2025,P096,W10,1,986
5/22/2025,P007,W05,3,1662
4/15/2025,P055,W03,10,33040
12/7/2025,P082,W02,8,30272
12/15/2025,P055,W06,2,12122
9/12/2025,P088,W01,18,19098
12/13/2025,P044,W01,6,17856
5/5/2025,P038,W06,12,71904
10/28/2025,P081,W05,16,3680
2/7/2025,P013,W08,13,45864
7/9/2025,P043,W09,5,6450
4/7/2025,P013,W01,5,2895
11/9/2025,P075,W01,18,8298
11/13/2025,P085,W04,6,40764
11/19/2025,P005,W03,14,24178
10/4/2025,P029,W07,13,29081
6/5/2025,P084,W03,15,71595
4/26/2025,P068,W06,20,9160
9/13/2025,P010,W03,18,7434
4/15/2025,P097,W04,18,7218
7/15/2025,P072,W01,8,24936
3/25/2025,P087,W02,1,3266
10/23/2025,P081,W06,5,17925
5/30/2025,P071,W07,11,58828
3/1/2025,P036,W08,3,5613
10/7/2025,P073,W01,14,28938
3/1/2025,P022,W10,16,89024
5/3/2025,P002,W06,6,12198
12/20/2025,P021,W01,10,57450
10/2/2025,P089,W08,1,6911
2/12/2025,P075,W06,15,70170
1/5/2025,P006,W09,3,9222
10/21/2025,P075,W06,12,68952
12/17/2025,P027,W10,13,58045
9/28/2025,P087,W05,6,22794
10/23/2025,P086,W01,7,20979
5/6/2025,P071,W03,19,19304
4/11/2025,P025,W07,20,32020
12/15/2025,P019,W08,12,6816
8/13/2025,P061,W05,19,46645
8/19/2025,P095,W04,11,17094
9/13/2025,P090,W05,19,26524
12/23/2025,P076,W09,9,7596
2/9/2025,P093,W08,13,31148
8/10/2025,P023,W03,7,24787
3/31/2025,P035,W02,4,19400
8/12/2025,P073,W09,14,63672
9/1/2025,P089,W02,7,31479
2/11/2025,P010,W03,8,49928
7/27/2025,P049,W08,7,39844
8/8/2025,P088,W10,12,55236
6/14/2025,P006,W10,3,3261
7/24/2025,P054,W02,17,13124
6/30/2025,P043,W02,1,5734
3/1/2025,P064,W07,11,44616
7/31/2025,P094,W10,15,95115
11/6/2025,P037,W02,6,23754
2/4/2025,P019,W07,17,33031
2/18/2025,P007,W05,6,5502
7/3/2025,P087,W10,1,1109
7/3/2025,P093,W09,10,25180
7/26/2025,P031,W04,20,31660
3/9/2025,P039,W08,10,43850
11/2/2025,P058,W07,1,766
3/2/2025,P027,W07,16,14128
8/21/2025,P052,W09,20,78880
12/14/2025,P079,W05,19,41135
11/20/2025,P094,W07,19,61332
12/8/2025,P027,W08,9,55845
2/6/2025,P052,W05,8,26520
5/11/2025,P037,W04,7,29582
2/3/2025,P005,W06,18,80226
11/20/2025,P075,W01,11,29832
10/11/2025,P065,W08,12,21096
2/26/2025,P075,W03,8,27408
7/30/2025,P090,W05,17,50864
2/14/2025,P058,W06,20,92560
6/10/2025,P084,W08,8,8416
6/25/2025,P012,W08,5,27010
12/4/2025,P009,W05,2,10576
1/3/2025,P043,W10,9,23157
7/9/2025,P095,W04,3,12543
8/19/2025,P002,W06,14,17122
5/28/2025,P052,W06,10,56870
10/26/2025,P021,W06,17,69802
11/20/2025,P082,W03,16,97552
3/24/2025,P062,W08,19,80940
10/5/2025,P062,W04,10,61420
11/21/2025,P070,W03,16,52912
7/13/2025,P034,W07,9,55944
10/15/2025,P045,W04,12,59868
7/23/2025,P086,W02,12,13824
4/26/2025,P089,W02,3,4605
8/30/2025,P045,W08,2,12370
1/23/2025,P052,W10,4,25284
7/16/2025,P052,W10,8,40192
5/29/2025,P022,W05,16,18784
12/4/2025,P038,W02,3,7059
10/16/2025,P038,W10,5,1475
8/6/2025,P049,W02,5,32805
12/18/2025,P089,W02,14,20832
2/11/2025,P085,W04,15,27405
10/13/2025,P051,W05,3,6378
10/1/2025,P003,W10,19,17518
10/12/2025,P031,W04,1,539
9/30/2025,P030,W01,9,35829
3/28/2025,P064,W01,3,11169
5/15/2025,P092,W05,17,61999
2/14/2025,P042,W02,2,9776
8/7/2025,P067,W04,12,35016
10/13/2025,P039,W07,12,24540
11/25/2025,P003,W03,1,3164
4/18/2025,P064,W10,2,4420
7/21/2025,P048,W05,10,21910
6/28/2025,P080,W08,7,8981
10/7/2025,P005,W06,9,7200
10/12/2025,P012,W05,9,12915
10/15/2025,P087,W10,8,39352
5/9/2025,P086,W01,5,26580
11/19/2025,P036,W02,1,564
3/22/2025,P086,W08,18,75456
12/19/2025,P099,W10,3,13992
1/29/2025,P064,W07,3,17790
7/13/2025,P090,W08,8,52944
1/15/2025,P037,W04,17,18955
9/13/2025,P090,W08,15,102945
4/10/2025,P061,W04,4,7864
11/21/2025,P043,W02,9,5553
12/28/2025,P006,W04,9,4995
10/26/2025,P093,W08,15,71550
10/8/2025,P006,W05,11,36784
12/9/2025,P091,W05,12,35736
3/28/2025,P032,W09,9,8577
4/30/2025,P056,W04,20,62940
7/8/2025,P072,W01,18,92052
4/6/2025,P048,W03,12,7800
4/18/2025,P076,W02,15,54285
10/5/2025,P094,W10,18,71784
9/3/2025,P055,W08,15,29955
12/20/2025,P084,W05,10,30090
12/16/2025,P044,W09,19,76570
8/24/2025,P090,W05,14,92050
7/22/2025,P038,W05,15,80730
6/14/2025,P076,W10,1,2828
9/2/2025,P067,W06,7,10773
2/14/2025,P067,W04,13,63999
12/26/2025,P006,W08,12,32040
7/20/2025,P059,W03,15,78360
9/5/2025,P037,W03,10,58630
6/24/2025,P002,W06,10,46970
6/15/2025,P048,W02,19,76855
12/2/2025,P048,W04,14,59836
2/3/2025,P078,W07,9,27234
12/1/2025,P077,W08,13,83785
7/4/2025,P033,W06,5,5160
9/7/2025,P027,W10,3,11241
9/11/2025,P014,W09,6,7404
3/17/2025,P005,W04,2,2346
1/25/2025,P029,W06,10,26580
1/3/2025,P049,W05,13,6045
6/30/2025,P053,W01,3,813
10/22/2025,P059,W06,3,3687
4/19/2025,P044,W04,10,43640
7/22/2025,P085,W09,7,19432
11/25/2025,P031,W08,17,6035
8/15/2025,P070,W05,10,50820
1/21/2025,P031,W07,17,9197
11/27/2025,P078,W10,12,69360
10/3/2025,P060,W07,7,42140
7/6/2025,P021,W02,1,5054
10/21/2025,P099,W09,20,54660
3/23/2025,P074,W02,14,43582
9/5/2025,P018,W04,3,12630
6/21/2025,P052,W10,13,36673
1/30/2025,P099,W03,10,5860
1/20/2025,P028,W08,10,28920
10/27/2025,P096,W01,6,14520
3/26/2025,P094,W02,12,32052
5/7/2025,P015,W09,18,112104
8/29/2025,P041,W03,12,21300
1/12/2025,P023,W02,12,80484
4/29/2025,P069,W03,10,4080
8/1/2025,P072,W04,12,30732
7/1/2025,P020,W03,1,6986
7/16/2025,P052,W04,5,16145
1/31/2025,P034,W01,7,8372
7/4/2025,P078,W02,11,25113
8/17/2025,P083,W04,12,48936
8/5/2025,P039,W09,15,41145
3/15/2025,P036,W09,13,60034
3/19/2025,P032,W02,6,25422
5/28/2025,P008,W01,20,47100
12/29/2025,P038,W06,17,73406
11/12/2025,P015,W01,9,50445
5/15/2025,P087,W06,14,2422
2/27/2025,P048,W05,10,58720
12/20/2025,P021,W08,20,100280
3/8/2025,P002,W02,1,2376
8/14/2025,P027,W07,2,8388
2/6/2025,P017,W04,8,18152
5/1/2025,P080,W01,11,46816
12/31/2025,P075,W06,18,51642
3/22/2025,P033,W09,12,32988
12/9/2025,P050,W04,20,37620
10/13/2025,P021,W06,4,25384
9/30/2025,P067,W10,20,81060
8/24/2025,P076,W01,10,23040
8/25/2025,P049,W01,4,9956
6/11/2025,P086,W04,5,16355
6/6/2025,P088,W02,7,7826
3/5/2025,P079,W10,10,54010
6/2/2025,P084,W03,14,4620
6/30/2025,P001,W01,1,3830
10/15/2025,P093,W06,15,101835
3/5/2025,P086,W05,13,27222
6/6/2025,P084,W05,15,54000
6/27/2025,P043,W10,4,2352
4/26/2025,P097,W09,15,49365
8/3/2025,P088,W09,14,4158
8/2/2025,P057,W02,7,21427
5/6/2025,P006,W06,1,1486
9/7/2025,P072,W08,12,27900
4/8/2025,P086,W04,6,37446
4/25/2025,P100,W07,13,50518
3/27/2025,P058,W04,6,11382
2/19/2025,P067,W04,15,26700
6/18/2025,P014,W10,1,1050
5/11/2025,P026,W08,4,26100
2/24/2025,P043,W08,10,55790
2/26/2025,P063,W02,2,1074
10/5/2025,P090,W09,17,47821
6/5/2025,P038,W04,6,15540
4/28/2025,P025,W08,14,92498
3/1/2025,P023,W07,7,17437
12/5/2025,P006,W02,7,1533
1/7/2025,P020,W01,10,20620
11/12/2025,P023,W05,1,2339
11/6/2025,P020,W03,14,15960
8/19/2025,P063,W05,17,52989
10/28/2025,P073,W09,10,49300
4/3/2025,P023,W05,15,11865
2/23/2025,P003,W02,13,10634
4/26/2025,P009,W10,16,56224
6/30/2025,P053,W06,12,30912
1/24/2025,P031,W09,7,28294
2/14/2025,P022,W03,16,17376
6/29/2025,P010,W04,7,8981
7/20/2025,P029,W01,2,8216
5/4/2025,P049,W10,5,5025
8/6/2025,P090,W01,12,66240
6/7/2025,P011,W05,9,49662
11/6/2025,P033,W01,10,33200
11/15/2025,P030,W01,4,11364
3/24/2025,P040,W02,20,40400
6/30/2025,P060,W03,19,82080
11/29/2025,P091,W06,14,44030
2/9/2025,P076,W01,18,5094
1/23/2025,P100,W06,19,11704
8/22/2025,P098,W10,17,93687
9/4/2025,P043,W03,1,3053
9/18/2025,P025,W06,4,7704
10/3/2025,P073,W07,3,7431
6/22/2025,P050,W04,8,28040
6/23/2025,P044,W04,3,15447
5/3/2025,P002,W02,4,18928
1/25/2025,P058,W06,7,37121
6/19/2025,P008,W02,7,3857
11/13/2025,P090,W10,2,2474
7/13/2025,P100,W07,10,22700
10/4/2025,P062,W09,16,23888
6/5/2025,P070,W04,3,14616
6/30/2025,P058,W10,12,44064
5/3/2025,P058,W02,9,14355
2/2/2025,P059,W02,7,6181
12/1/2025,P034,W03,18,40842
5/11/2025,P081,W10,16,10992
1/10/2025,P079,W10,7,21672
3/2/2025,P059,W09,10,15410
4/22/2025,P039,W09,5,28725
2/8/2025,P057,W01,9,46755
11/22/2025,P088,W02,5,6020
8/16/2025,P083,W03,12,22788
1/5/2025,P024,W06,15,98760
2/1/2025,P047,W07,5,5390
9/24/2025,P027,W06,8,35416
1/18/2025,P084,W05,8,34096
1/30/2025,P054,W07,16,70512
7/2/2025,P024,W08,1,3323
5/3/2025,P090,W09,19,106761
9/19/2025,P071,W09,2,4158
12/28/2025,P015,W03,13,17329
8/26/2025,P085,W02,17,42143
7/13/2025,P099,W06,6,23064
6/9/2025,P078,W07,12,26484
1/21/2025,P088,W07,4,11608
9/6/2025,P077,W09,2,8662
7/16/2025,P082,W07,4,2628
8/9/2025,P004,W09,6,31428
10/8/2025,P040,W01,10,6720
7/31/2025,P044,W07,19,50274
5/22/2025,P090,W06,2,6046
7/22/2025,P029,W01,15,99060
4/11/2025,P096,W07,20,113720
6/17/2025,P058,W09,3,873
9/9/2025,P075,W03,12,42264
7/22/2025,P083,W02,18,51624
1/27/2025,P030,W07,9,2403
2/18/2025,P067,W10,20,60800
5/29/2025,P024,W04,16,94704
8/4/2025,P064,W02,8,9864
11/25/2025,P095,W10,3,15936
12/13/2025,P066,W02,2,6026
12/19/2025,P091,W10,1,4256
2/14/2025,P038,W09,2,2836
12/21/2025,P010,W01,5,22355
3/17/2025,P066,W10,12,38484
6/20/2025,P092,W09,7,39907
10/12/2025,P071,W07,14,56280
8/27/2025,P082,W01,20,10140
6/7/2025,P082,W09,2,13244
11/25/2025,P043,W10,18,85464
1/17/2025,P038,W05,5,2750
9/17/2025,P077,W06,17,94792
4/23/2025,P027,W10,16,107712
1/6/2025,P061,W10,7,19306
7/30/2025,P010,W01,3,1506
2/11/2025,P022,W08,17,65229
10/23/2025,P043,W05,19,67754
1/2/2025,P080,W07,15,41595
10/13/2025,P008,W06,8,28712
2/9/2025,P026,W03,6,15414
6/21/2025,P035,W01,10,4390
8/8/2025,P010,W06,1,1262
12/22/2025,P055,W10,16,108880
11/12/2025,P052,W10,3,1437
11/14/2025,P067,W09,13,5382
12/9/2025,P044,W01,12,34584
